name,surname,mail,gender,age,school,department,city_living,experience,programs,languages,gpa,degree,department_applied,salary,drivers_license,smoking,military_service,flexible_hours,group_alone,online,reference,internship,hired
Alissa,Allison,alissa.allison@mail.com,F,28,Bartin University,Electrical Electronics Engineering,Istanbul,6,ML, ,3.01,Bachelor,Programming,34000,1,0, ,0,G,0,0, ,N
Allen,Decker,allen.decker@mail.com,M,23,Nuh Naci Yazgan University,Automotive Engineering,Istanbul,2,Siemens NX, ,3.66,Bachelor,Design,41000,0,1,Not at Military Age,0,A,1,1,1,N
Allysa,Duarte,allysa.duarte@mail.com,M,20,Trakya University,Aeronautical Engineering,Istanbul,0,Altium Proteus MATLAB,G,2.02,Bachelor,Electronics,22000,0,1,Not at Military Age,0,G,0,1,1,H
Alonzo,Galvan,alonzo.galvan@mail.com,F,45,cankiri Karatekin University,Electronics and Automation Engineering,Istanbul,22,MATLAB, ,2.43,PhD or Higher,Programming,32000,1,0, ,0,G,1,0, ,N
Alvaro,Hoy,alvaro.hoy@mail.com,M,42,Hacettepe University,Electronics and Communication Engineering,Ankara,20,Siemens PLC,G,3.07,Master,Automation,37000,1,1,Exempted,0,G,0,1, ,H
Alvin,Rahman,alvin.rahman@mail.com,M,32,Koc University,Electrical Electronics Engineering,Istanbul,9,Ansys Solidworks Solidworks Fusion 360,"E,G",3.97,Bachelor,Design,12000,1,1,Delayed,0,A,0,1, ,H
Alycia,Arevalo,alycia.arevalo@mail.com,M,35,Istanbul Technical University,Electrical Electronics Engineering,Istanbul,16,C#,Other,2.75,Bachelor,Programming,8000,1,1,Remnant,0,G,0,1, ,H
Alysa,Pino,alysa.pino@mail.com,M,34,Gumushane University,Electrical Electronics Engineering,Ankara,9,Java,Other,2.78,Master,Programming,40000,1,0,Exempted,0,A,0,0, ,N
Alyson,Martino,alyson.martino@mail.com,M,37,Bilkent University,Automotive Engineering,Istanbul,16,Proteus,Other,2.01,PhD or Higher,Test,34000,0,1,Exempted,0,A,0,0, ,N
Amaiya,Cathey,amaiya.cathey@mail.com,M,36,Aksaray University,Aeronautical Engineering,Istanbul,12,Siemens PLC Mitsubishi PLC,E,3.95,PhD or Higher,Automation,22000,1,1,Exempted,0,G,1,0, ,H
Aman,Flanders,aman.flanders@mail.com,F,40,Kocaeli University,Electronics and Communication Engineering,Ankara,23,C Python,E,2.53,PhD or Higher,Programming,22000,0,1, ,0,G,0,0, ,N
Amanda,Byrne,amanda.byrne@mail.com,F,24,Necmettin Erbakan University,Aeronautical Engineering,Istanbul,3,OOP,Other,3.35,Bachelor,Programming,23000,0,1, ,0,G,0,0,0,H
Amani,Reid,amani.reid@mail.com,M,18,Yildiz Technical University,Electronics and Communication Engineering,Kocaeli,0,MATLAB,Other,2.64,Bachelor,Electronics,33000,0,0,Not at Military Age,0,G,1,0,1,N
Amiah,Grayson,amiah.grayson@mail.com,F,29,Sabanci University,Mechatronics Engineering,Ankara,4,Fusion 360 Siemens NX MATLAB,"E,G",3.58,Bachelor,Design,19000,1,1, ,1,A,1,0,0,H
Amina,Overstreet,amina.overstreet@mail.com,M,23,Yildiz Technical University,Aeronautical Engineering,Isparta,5,AutoCAD,Other,3.56,Bachelor,Design,19000,0,1,Not at Military Age,1,G,0,1,0,H
Amiyah,StJohn,amiyah.stjohn@mail.com,F,19,Istanbul Commerce University,Electronics and Communication Engineering,Istanbul,0,MATLAB Altium,"E,G",3.87,Bachelor,Electronics,11000,1,0, ,1,A,1,0,1,H
Amiyah,Clifton,amiyah.clifton@mail.com,M,34,Middle East Technical University,Mechatronics Engineering,Sinop,10,MATLAB, ,2.06,Master,Test,22000,0,0,Uncertain,0,A,1,0, ,N
Amos,Limon,amos.limon@mail.com,F,42,Koc University,Electrical Electronics Engineering,Ankara,22,MATLAB,E,3.62,Bachelor,Programming,28000,1,1, ,0,A,0,1, ,H
Amya,Cummins,amya.cummins@mail.com,F,40,Middle East Technical University,Automotive Engineering,Istanbul,19,AutoCAD Siemens NX,E,2.67,Bachelor,Design,26000,0,0, ,0,G,0,1, ,H
Anahi,Hyde,anahi.hyde@mail.com,F,41,Koc University,Electronics and Automation Engineering,Ankara,20,Solidworks Fusion 360, ,2.57,Master,Design,13000,0,0, ,0,G,1,1, ,N
Analise,Kong,analise.kong@mail.com,M,30,Koc University,Electronics and Communication Engineering,Mersin,8,OOP MATLAB C# ML,Other,2.71,Bachelor,Programming,34000,0,0,Remnant,0,A,1,0, ,H
Ananda,Hu,ananda.hu@mail.com,M,42,Istanbul University-Cerrahpasa,Electronics and Communication Engineering,Afyonkarahisar,21,C Python OOP,E,2.49,Master,Programming,14000,0,0,Uncertain,0,G,0,0, ,N
Anastasia,Merriman,anastasia.merriman@mail.com,F,19,Dicle University,Electronics and Communication Engineering,İzmir,0,Solidworks Fusion 360 AutoCAD Siemens NX, ,3.12,Bachelor,Design,25000,0,0, ,0,G,0,0,1,N
Anderson,Lemay,anderson.lemay@mail.com,M,43,Antalya AKEV University,Mechatronics Engineering,Istanbul,16,Fusion 360 AutoCAD matlab,G,3.39,Master,Design,27000,1,1,Delayed,0,A,1,1, ,H
Andie,Hope,andie.hope@mail.com,F,27,Bogazici University,Aeronautical Engineering,Istanbul,5,Altium Proteus,E,2.92,Bachelor,Electronics,14000,0,1, ,0,A,1,1,1,H
Andreas,Catalano,andreas.catalano@mail.com,M,24,Tarsus University,Electrical Electronics Engineering,Istanbul,1,Altium Proteus MATLAB,"E,G",2.22,Bachelor,Electronics,47000,1,1,Not at Military Age,0,G,1,0,1,H
Andy,Amos,andy.amos@mail.com,M,25,Middle East Technical University,Mechatronics Engineering,Sakarya,6,Altium Proteus MATLAB,E,2.65,Bachelor,Electronics,17000,1,0,Not at Military Age,0,A,1,1, ,N
Angel,Godoy,angel.godoy@mail.com,M,40,Gebze Technical University,Automotive Engineering,Yalova,16,Fusion 360 Siemens NX MATLAB,Other,3.18,Bachelor,Design,21000,1,1,Remnant,0,G,0,1, ,H
Angela,Harbin,angela.harbin@mail.com,F,44,Erzurum Technical University,Automotive Engineering,Istanbul,17,AutoCAD,E,2.66,Bachelor,Design,14000,1,0, ,0,G,0,0, ,N
Angelo,Dover,angelo.dover@mail.com,M,32,Dokuz Eylul University,Mechatronics Engineering,Istanbul,8,Altium Proteus MATLAB,G,3.20,Master,Test,44000,1,0,Uncertain,0,A,0,1, ,N
Anika,Brandon,anika.brandon@mail.com,F,30,Hacettepe University,Automotive Engineering,Istanbul,12,ML,Other,2.73,Bachelor,Programming,48000,1,0, ,0,A,1,1, ,H
Annabella,Hay,annabella.hay@mail.com,F,31,Ondokuz Mayis University,Electronics and Automation Engineering,Istanbul,9,C# ML,Other,3.32,Bachelor,Programming,8000,0,1, ,0,G,1,0, ,H
Annalee,Choate,annalee.choate@mail.com,M,40,Yildiz Technical University,Electronics and Communication Engineering,Istanbul,19,Proteus,E,3.51,PhD or Higher,Electronics,49000,1,1,Exempted,0,G,0,0, ,H
Annalise,Fortner,annalise.fortner@mail.com,F,33,Mardin Artuklu University,Automotive Engineering,Istanbul,10,Altium Proteus MATLAB,"E,G",2.39,Bachelor,Electronics,49000,0,1, ,0,G,1,0, ,H
Annika,Villarreal,annika.villarreal@mail.com,M,38,Bogazici University,Aeronautical Engineering,Istanbul,14,Proteus,"E,G",3.40,PhD or Higher,Electronics,39000,1,1,Remnant,0,A,0,1, ,H
Anthony,Dubose,anthony.dubose@mail.com,F,36,Istanbul University,Mechanical Engineering,Istanbul,10,MATLAB C++ C ML DL,"E,G",3.65,Bachelor,Programming,13000,0,0, ,1,A,0,0, ,H
Anthony,Thorne,anthony.thorne@mail.com,M,44,Bogazici University,Electronics and Communication Engineering,Ankara,25,Solidworks Fusion 360 AutoCAD Siemens NX,Other,3.69,PhD or Higher,Design,36000,0,1,Delayed,0,G,1,1, ,H
Antoine,Hopson,antoine.hopson@mail.com,M,43,Sabanci University,Aeronautical Engineering,Istanbul,23,Proteus, ,2.96,Master,Electronics,37000,0,1,Delayed,0,A,0,0, ,N
Antoinette,Galindo,antoinette.galindo@mail.com,M,34,Koc University,Electrical Electronics Engineering,Kocaeli,9,C Python OOP,E,2.87,Bachelor,Programming,22000,1,1,Uncertain,0,A,1,0, ,H
Anton,Shen,anton.shen@mail.com,M,32,Sakarya University of Applied Sciences,Control and Automation Engineering,Istanbul,9,Altium Proteus MATLAB,Other,3.77,Master,Electronics,20000,1,1,Uncertain,1,G,0,0, ,H
Antony,Lau,antony.lau@mail.com,F,19,Kilis 7 Aralik University,Mechatronics Engineering,Ankara,0,Altium Proteus,G,2.13,Bachelor,Test,39000,1,0, ,0,A,0,0,1,N
Areli,Santoro,areli.santoro@mail.com,M,23,Istanbul University,Aeronautical Engineering,Istanbul,0,Proteus, ,3.44,Bachelor,Test,47000,1,1,Not at Military Age,0,G,0,0,0,N
Ariella,Girard,ariella.girard@mail.com,M,32,Bogazici University,Electronics and Automation Engineering,Istanbul,11,Proteus,"E,G",3.14,Bachelor,Test,33000,0,1,Remnant,0,A,0,0, ,N
Arman,Baltazar,arman.baltazar@mail.com,F,19,Kahramanmaras İstiklal University,Electronics and Communication Engineering,Istanbul,0,Altium, ,3.78,Bachelor,Test,15000,0,0, ,0,A,0,1,1,N
Armani,Law,armani.law@mail.com,F,44,Istanbul University,Electrical Electronics Engineering,Istanbul,23,Siemens PLC Mitsubishi PLC,"E,G",2.83,PhD or Higher,Automation,18000,1,0, ,0,G,0,0, ,N
Arnold,Coyle,arnold.coyle@mail.com,F,33,Sinop University,Automotive Engineering,Istanbul,12,C,"E,G",2.69,Bachelor,Programming,40000,0,0, ,0,G,0,1, ,H
Arnold,Han,arnold.han@mail.com,M,26,Koc University,Electronics and Communication Engineering,Ankara,1,Fusion 360 AutoCAD MATLAB Siemens NX,G,3.84,Bachelor,Design,13000,1,0,Not at Military Age,0,G,1,1,0,H
Arron,Bergman,arron.bergman@mail.com,M,45,Koc University,Aeronautical Engineering,Istanbul,22,Solidworks AutoCAD ,"E,G",3.96,PhD or Higher,Design,25000,0,1,Remnant,0,G,1,0, ,H
Arthur,Mcfarlane,arthur.mcfarlane@mail.com,F,27,Selcuk University,Electronics and Communication Engineering,Istanbul,6,C Python OOP,Other,2.03,Master,Programming,21000,1,1, ,0,A,1,0, ,H
Arturo,Steward,arturo.steward@mail.com,M,21,Middle East Technical University,Electrical Electronics Engineering,Ankara,0,Altium,"E,G",3.19,Bachelor,Electronics,32000,0,1,Not at Military Age,0,G,0,0,0,N
Aryana,Rasmussen,aryana.rasmussen@mail.com,M,38,Yildiz Technical University,Mechatronics Engineering,Istanbul,12,AutoCAD,Other,3.75,Bachelor,Design,19000,0,0,Uncertain,1,G,1,1, ,H
Aryanna,Maddox,aryanna.maddox@mail.com,M,29,Antalya AKEV University,Automotive Engineering,Istanbul,6,Solidworks Fusion 360,G,3.44,Master,Design,28000,1,0,Delayed,0,G,0,1, ,H
Asa,Behrens,asa.behrens@mail.com,M,30,Sabanci University,Electronics and Communication Engineering,Istanbul,10,Solidworks AutoCAD ,G,2.65,Master,Design,9000,0,1,Exempted,0,A,1,1, ,H
Asa,Hunt,asa.hunt@mail.com,M,36,Hacettepe University,Electrical Electronics Engineering,İzmir,16,Schneider Electric PLC,E,3.18,Master,Automation,28000,1,0,Exempted,1,G,0,0, ,H
Asher,Hawley,asher.hawley@mail.com,M,28,Giresun University,Aeronautical Engineering,Istanbul,6,Altium, ,2.06,PhD or Higher,Test,32000,0,0,Delayed,0,G,0,0, ,N
Ashli,Burr,ashli.burr@mail.com,M,19,Hacettepe University,Automotive Engineering,Istanbul,0,MATLAB,G,3.53,Bachelor,Test,17000,0,1,Not at Military Age,0,G,1,1,0,N
Ashly,Duenas,ashly.duenas@mail.com,M,45,Koc University,Aeronautical Engineering,Istanbul,25,C# ML C Python,G,2.13,Master,Programming,11000,1,1,Delayed,0,G,0,0, ,N
Asya,Tolliver,asya.tolliver@mail.com,F,24,Dokuz Eylul University,Mechatronics Engineering,Istanbul,2,C Python OOP,Other,2.93,Bachelor,Programming,40000,0,1, ,0,G,1,0,1,H
Aubree,McWilliams,aubree.mcwilliams@mail.com,F,43,Middle East Technical University,Mechatronics Engineering,Istanbul,21,Schneider Electric PLC Allen Bradley PLC Omron PLC,E,2.25,Bachelor,Automation,40000,1,1, ,0,G,1,0, ,H
Aubrey,Nunes,aubrey.nunes@mail.com,F,37,Osmaniye Korkut Ata University,Electronics and Communication Engineering,Ankara,16,MATLAB,"E,G",3.78,PhD or Higher,Electronics,49000,1,1, ,0,G,1,0, ,H
Aubrie,Frias,aubrie.frias@mail.com,F,44,Koc University,Mechatronics Engineering,Istanbul,23,MATLAB Altium,G,2.38,PhD or Higher,Electronics,9000,0,1, ,0,G,0,0, ,N
Audra,Estrella,audra.estrella@mail.com,M,42,Yuksek İhtisas University,Electrical Electronics Engineering,Istanbul,17,Siemens PLC,Other,2.45,Master,Automation,37000,1,0,Exempted,0,G,0,0, ,N
Audrey,Daigle,audrey.daigle@mail.com,F,20,Yildiz Technical University,Mechatronics Engineering,Kocaeli,0,MATLAB Altium,G,2.31,Bachelor,Electronics,13000,1,1, ,0,G,0,0,1,N
Augustine,Stokes,augustine.stokes@mail.com,F,18,Koc University,Electrical Electronics Engineering,Kilis,0,Altium Proteus MATLAB,G,3.93,Bachelor,Test,31000,0,1, ,0,G,0,0,1,N
Ava,Luna,ava.luna@mail.com,M,24,Istanbul Aydin University,Aeronautical Engineering,Istanbul,1,Siemens NX Solidworks Fusion 360,Other,3.87,Bachelor,Design,11000,1,1,Not at Military Age,1,G,0,1,0,H
Averie,Knight,averie.knight@mail.com,M,41,Hacettepe University,Mechatronics Engineering,Ankara,19,OOP MATLAB C# ML,G,3.33,Master,Programming,46000,1,0,Exempted,0,G,1,0, ,H
Avery,Wolf,avery.wolf@mail.com,M,24,Bursa Technical University,Automotive Engineering,Sinop,3,MATLAB Altium,E,3.07,Bachelor,Electronics,13000,1,0,Not at Military Age,1,A,1,1,1,H
Axel,Staggs,axel.staggs@mail.com,M,35,Bogazici University,Automotive Engineering,Istanbul,14,C# ML,E,3.86,Master,Programming,35000,1,0,Remnant,0,A,0,1, ,H
Ayana,Harmon,ayana.harmon@mail.com,F,38,Istanbul Technical University,Electronics and Communication Engineering,Istanbul,15,Altium Proteus,G,2.97,Bachelor,Electronics,19000,1,1, ,0,A,0,1, ,H
Aylin,Simon,aylin.simon@mail.com,M,32,Hacettepe University,Electronics and Communication Engineering,Sakarya,8,MATLAB, ,3.91,Master,Programming,27000,0,0,Uncertain,0,G,1,0, ,N
Aysia,Bandy,aysia.bandy@mail.com,M,19,Istanbul Technical University,Aeronautical Engineering,Istanbul,0,MATLAB,"E,G",3.03,Bachelor,Electronics,39000,1,0,Not at Military Age,0,G,0,0,1,N
Baby,Mayfield,baby.mayfield@mail.com,F,30,Koc University,Mechatronics Engineering,Ankara,10,ML DL Python Java,"E,G",3.79,Master,Programming,21000,1,0, ,1,A,0,1, ,H
Baby,Brant,baby.brant@mail.com,M,38,Bitlis Eren University,Aeronautical Engineering,Istanbul,15,DL OOP,Other,3.82,Master,Programming,23000,0,1,Uncertain,0,G,0,1, ,H
Bailee,DeJesus,bailee.dejesus@mail.com,M,18,Bursa Uludag University,Mechatronics Engineering,Istanbul,0,Siemens PLC,"E,G",3.73,Bachelor,Automation,25000,1,0,Not at Military Age,0,A,0,0,0,H
Bailey,Darling,bailey.darling@mail.com,M,45,Bilkent University,Electronics and Communication Engineering,Ankara,16,MATLAB Altium,E,2.22,Bachelor,Test,32000,1,1,Delayed,0,G,1,1, ,N
Bayleigh,Hebert,bayleigh.hebert@mail.com,F,30,Istanbul University-Cerrahpasa,Electronics and Communication Engineering,Ankara,11,Fusion 360 AutoCAD,"E,G",3.99,Bachelor,Design,22000,1,0, ,0,G,0,0, ,N
Bayley,Teal,bayley.teal@mail.com,M,44,Beykent University,Electrical Electronics Engineering,Ankara,17,MATLAB C++ C ML DL,E,2.93,Bachelor,Programming,27000,1,1,Remnant,0,G,0,0, ,N
Baylie,Wolf,baylie.wolf@mail.com,M,45,Koc University,Electrical Electronics Engineering,Istanbul,21,Altium,"E,G",3.64,Master,Test,46000,0,0,Uncertain,0,G,1,1, ,N
Baylie,Ennis,baylie.ennis@mail.com,M,33,Koc University,Mechatronics Engineering,Ankara,13,OOP MATLAB,"E,G",2.91,PhD or Higher,Programming,43000,0,1,Uncertain,1,G,1,1, ,H
Baylor,Hammer,baylor.hammer@mail.com,F,27,Bilkent University,Mechatronics Engineering,Erzurum,4,Altium Proteus MATLAB, ,3.50,Bachelor,Electronics,21000,0,1, ,0,G,0,1,0,N
Beau,Shah,beau.shah@mail.com,F,45,Dokuz Eylul University,Aeronautical Engineering,Istanbul,25,Mitsubishi PLC Schneider Electric PLC Allen Bradley PLC,"E,G",2.73,Master,Automation,43000,0,1, ,0,G,0,1, ,H
Belinda,Lyon,belinda.lyon@mail.com,M,30,Gebze Technical University,Aeronautical Engineering,Istanbul,9,Fusion 360 AutoCAD matlab,E,3.83,PhD or Higher,Design,35000,1,1,Exempted,0,G,1,0, ,H
Bella,Washburn,bella.washburn@mail.com,F,44,Dokuz Eylul University,Electronics and Automation Engineering,Igdir,22,MATLAB Altium, ,2.49,PhD or Higher,Electronics,35000,0,0, ,0,A,0,0, ,N
Bennett,Spears,bennett.spears@mail.com,F,37,MEF University,Electronics and Automation Engineering,Ankara,13,C++ C DL DL OOP, ,2.25,Master,Programming,39000,0,1, ,0,A,0,1, ,N
Bernard,Romeo,bernard.romeo@mail.com,F,29,Adiyaman University,Electronics and Communication Engineering,Istanbul,4,Allen Bradley PLC,G,2.49,Master,Automation,32000,1,1, ,0,G,0,1,1,H
Bethany,McCauley,bethany.mccauley@mail.com,M,18,Adana Alparslan Turkes University of Science and Technology,Electronics and Communication Engineering,Ankara,0,Ansys Solidworks MATLAB,G,2.26,Bachelor,Design,18000,1,0,Not at Military Age,0,A,0,0,0,H
Bill,Karr,bill.karr@mail.com,F,37,Dokuz Eylul University,Electrical Electronics Engineering,Istanbul,15,Altium,"E,G",3.50,PhD or Higher,Electronics,45000,1,1, ,0,G,0,0, ,N
Bishop,Land,bishop.land@mail.com,F,44,Yildiz Technical University,Electronics and Automation Engineering,Ankara,22,Solidworks AutoCAD ,Other,3.17,Bachelor,Design,30000,1,0, ,0,A,0,0, ,N
Bishop,Reece,bishop.reece@mail.com,F,42,Middle East Technical University,Mechanical Engineering,Kocaeli,18,Omron PLC,E,3.41,Master,Automation,33000,0,1, ,1,G,1,1, ,H
Blair,Breen,blair.breen@mail.com,M,18,Mus Alparslan University,Electronics and Communication Engineering,Ankara,0,Allen Bradley PLC Omron PLC C,E,3.82,Bachelor,Automation,9000,1,1,Not at Military Age,1,A,1,1,1,H
